name,road_link_id,from_node_id,to_node_id,direction,length,lanes,free_speed,capacity,link_type,link_type_name,jam_density,demand_type_code,count_sensor_id,speed_sensor_id
Connector,0,1353,5589,1,0.2564,7,21,10000,1,Zone Connector,1028,,,
Connector,0,1353,11172,1,0.2395,7,21,10000,1,Zone Connector,1029,,,
Connector,0,1353,11173,1,0.2648,7,21,10000,1,Zone Connector,1030,,,
Connector,0,1354,5592,1,0.2627,7,20,10000,1,Zone Connector,1031,,,
Connector,0,1354,11173,1,0.3067,7,20,10000,1,Zone Connector,1032,,,
Connector,0,1355,5219,1,0.2329,7,21,10000,1,Zone Connector,1033,,,
Connector,0,1355,11183,1,0.2952,7,21,10000,1,Zone Connector,1034,,,
Connector,0,1356,6255,1,0.2527,7,21,10000,1,Zone Connector,1035,,,
Connector,0,1356,6256,1,0.271,7,21,10000,1,Zone Connector,1036,,,
Connector,0,1356,11183,1,0.3674,7,21,10000,1,Zone Connector,1037,,,
Connector,0,1356,11259,1,0.3823,7,21,10000,1,Zone Connector,1038,,,
Connector,0,1357,5174,1,0.4171,7,21,10000,1,Zone Connector,1039,,,
Connector,0,1357,5588,1,0.4955,7,21,10000,1,Zone Connector,1040,,,
Connector,0,1357,6255,1,0.2849,7,21,10000,1,Zone Connector,1041,,,
Connector,0,1359,6185,1,0.3586,7,21,10000,1,Zone Connector,1042,,,
Connector,0,1360,10850,1,0.1651,7,20,10000,1,Zone Connector,1043,,,
Connector,0,1360,11489,1,0.2373,7,20,10000,1,Zone Connector,1044,,,
Connector,0,1361,5728,1,0.1705,7,20,10000,1,Zone Connector,1045,,,
Connector,0,1397,11261,1,0.6112,7,21,10000,1,Zone Connector,1046,,,
Connector,0,1404,11257,1,0.1389,7,20,10000,1,Zone Connector,1047,,,
Redwood Rd,0,5017,5018,1,0.498,3,43,854,2,Highway/Expressway,1048,,,
Redwood Rd,0,5017,11146,1,0.2497,3,43,854,2,Highway/Expressway,1049,,,
Redwood Rd,0,5018,5017,1,0.498,3,43,854,2,Highway/Expressway,1050,,,
Redwood Rd,0,5018,5436,1,0.5069,3,43,854,2,Highway/Expressway,1051,,,
9000 South,0,5112,5589,1,0.2454,2,39,892,2,Highway/Expressway,1052,,,
9000 South,0,5112,11159,1,0.2563,2,39,892,2,Highway/Expressway,1053,,,
Connector,0,4952,1289,1,0.2427,7,21,10000,1,Zone Connector,1054,,,
Connector,0,4952,1290,1,0.2516,7,21,10000,1,Zone Connector,1055,,,
Redwood Rd,0,5112,11160,1,0.2128,3,43,854,2,Highway/Expressway,1056,,,
Redwood Rd,0,5112,11172,1,0.2477,2,39,892,2,Highway/Expressway,1057,,,
Connector,0,4958,1299,1,0.1988,7,21,10000,1,Zone Connector,1058,,,
Redwood Rd,0,5113,11148,1,0.3466,3,43,854,2,Highway/Expressway,1059,,,
Redwood Rd,0,5113,11160,1,0.2187,3,43,854,2,Highway/Expressway,1060,,,
9000 South,0,5114,5589,1,0.256,2,39,892,2,Highway/Expressway,1061,,,
9000 South,0,5114,5592,1,0.3692,2,32,847,2,Highway/Expressway,1062,,,
9000 South,0,5117,11255,1,0.1231,2,32,847,2,Highway/Expressway,1063,,,
9000 South,0,5118,5727,1,0.1119,2,32,847,2,Highway/Expressway,1064,,,
9000 South,0,5118,11255,1,0.1912,2,32,847,2,Highway/Expressway,1065,,,
9000 South,0,5119,5727,1,0.058,2,32,847,2,Highway/Expressway,1066,,,
Redwood Rd,0,5208,5209,1,0.3999,2,39,892,2,Highway/Expressway,1067,,,
Redwood Rd,0,5208,5238,1,0.6407,1,38,929,2,Highway/Expressway,1068,,,
Redwood Rd,0,5209,5208,1,0.3999,2,39,892,2,Highway/Expressway,1069,,,
Redwood Rd,0,5209,5211,1,0.3468,2,39,892,2,Highway/Expressway,1070,,,
Connector,0,5018,1285,1,0.2384,7,21,10000,1,Zone Connector,1071,,,
Connector,0,5018,1289,1,0.2621,7,21,10000,1,Zone Connector,1072,,,
Redwood Rd,0,5210,5211,1,0.2656,2,39,892,2,Highway/Expressway,1073,,,
Redwood Rd,0,5210,11172,1,0.4974,2,39,892,2,Highway/Expressway,1074,,,
Redwood Rd,0,5211,5209,1,0.3468,2,39,892,2,Highway/Expressway,1075,,,
Redwood Rd,0,5211,5210,1,0.2656,2,39,892,2,Highway/Expressway,1076,,,
Redwood Rd,0,5238,5208,1,0.6407,1,38,929,2,Highway/Expressway,1077,,,
Redwood Rd,0,5436,5018,1,0.5069,3,43,854,2,Highway/Expressway,1078,,,
Redwood Rd,0,5436,5578,1,0.4375,3,39,854,2,Highway/Expressway,1079,,,
Redwood Rd,0,5578,5436,1,0.4375,3,39,854,2,Highway/Expressway,1080,,,
9000 South,0,5589,5112,1,0.2454,2,39,892,2,Highway/Expressway,1081,,,
9000 South,0,5589,5114,1,0.256,2,39,892,2,Highway/Expressway,1082,,,
9000 South,0,5592,5114,1,0.3692,2,32,847,2,Highway/Expressway,1083,,,
9000 South,0,5727,5118,1,0.1119,2,32,847,2,Highway/Expressway,1084,,,
9000 South,0,5727,5119,1,0.058,2,32,847,2,Highway/Expressway,1085,,,
Redwood Rd,0,5736,11146,1,0.2454,3,43,854,2,Highway/Expressway,1086,,,
Redwood Rd,0,5736,11148,1,0.228,3,43,854,2,Highway/Expressway,1087,,,
Redwood Rd,0,11146,5017,1,0.2497,3,43,854,2,Highway/Expressway,1088,,,
Redwood Rd,0,11146,5736,1,0.2454,3,43,854,2,Highway/Expressway,1089,,,
Redwood Rd,0,11148,5113,1,0.3466,3,43,854,2,Highway/Expressway,1090,,,
Redwood Rd,0,11148,5736,1,0.228,3,43,854,2,Highway/Expressway,1091,,,
9000 South,0,11159,5112,1,0.2563,2,39,892,2,Highway/Expressway,1092,,,
Redwood Rd,0,11160,5112,1,0.2128,3,43,854,2,Highway/Expressway,1093,,,
Redwood Rd,0,11160,5113,1,0.2187,3,43,854,2,Highway/Expressway,1094,,,
Redwood Rd,0,11172,5112,1,0.2477,2,39,892,2,Highway/Expressway,1095,,,
Redwood Rd,0,11172,5210,1,0.4974,2,39,892,2,Highway/Expressway,1096,,,
9000 South,0,11255,5117,1,0.1231,2,32,847,2,Highway/Expressway,1097,,,
9000 South,0,11255,5118,1,0.1912,2,32,847,2,Highway/Expressway,1098,,,
9000 South,0,5592,1,1,0.12113,2,32,847,2,Highway/Expressway,1099,,,
9000 South,0,1,2,1,0.12113,2,32,847,2,Highway/Expressway,1100,,,
9000 South,0,2,3,1,0.12113,2,32,847,2,Highway/Expressway,1101,,,
9000 South,0,3,4,1,0.12113,2,32,847,2,Highway/Expressway,1102,,,
9000 South,0,4,5,1,0.12113,2,32,847,2,Highway/Expressway,1103,,,
9000 South,0,5,5117,1,0.12113,2,32,847,2,Highway/Expressway,1104,,,
9000 South,0,5117,5,1,0.12113,2,32,847,2,Highway/Expressway,1105,,,
9000 South,0,5,4,1,0.12113,2,32,847,2,Highway/Expressway,1106,,,
9000 South,0,4,3,1,0.12113,2,32,847,2,Highway/Expressway,1107,,,
9000 South,0,3,2,1,0.12113,2,32,847,2,Highway/Expressway,1108,,,
9000 South,0,2,1,1,0.12113,2,32,847,2,Highway/Expressway,1109,,,
9000 South,0,1,5592,1,0.12113,2,32,847,2,Highway/Expressway,1110,,,
